Reference,Quantity,Value,Description,Manufacturer,Manufacturer part number,Distributor part number,Status,Digi-Key PN,Packaging,Stock
"U2, U44, U51",3,SN74LVC1G14DBVR,IC INVERTER 1CH 1-INP SOT23-5,Texas Instruments,SN74LVC1G14DBVR,296-11607-1-ND,OK,296-11607-1-ND,Cut Tape (CT),165326
D53,1,MMSZ5226B,DIODE ZENER 3.3V 500MW SOD123,Diodes Incorporated,MMSZ5226B-7-F,MMSZ5226B-FDICT-ND,OK,MMSZ5226B-FDICT-ND,Cut Tape (CT),109447
D57,1,DDZ9678-7,DIODE ZENER 1.8V 500MW SOD123,Diodes Incorporated,DDZ9678-7,DDZ9678DICT-ND,OK,DDZ9678DICT-ND,Cut Tape (CT),272538
Q7,1,P-FET 60V 7.2A,MOSFET P-CH 60V 7.2A/23.6A TO252,Diodes Incorporated,DMPH6050SK3-13,DMPH6050SK3-13DICT-ND,OK,DMPH6050SK3-13DICT-ND,Cut Tape (CT),36504
J34,1,HEADER 2,"TERMINAL BLOCK, SCREW TYPE, 5.00",CUI Devices,TB002-500-02BE,102-6145-ND,OK,102-6145-ND,Bag,94594
R228,1,1K91,RES 1.91K OHM 1% 1/16W 0402,YAGEO,RC0402FR-071K91L,YAG3049CT-ND,OK,YAG3049CT-ND,Cut Tape (CT),1044681
U35,1,SE555,IC OSC SGL TIMER 100KHZ 8-SOIC,Texas Instruments,SE555DR,296-39169-1-ND,OK,296-39169-1-ND,Cut Tape (CT),19882
L2-L4,3,2.2u,FIXED IND 2.2UH 6.3A 13 MOHM SMD,Bourns Inc.,SRN8040-2R2Y,SRN8040-2R2YCT-ND,OK,SRN8040-2R2YCT-ND,Cut Tape (CT),54522
"C168, C171, C183, C194",4,10nF,CAP CER 10000PF 50V X7R 0402,Murata Electronics,GCM155R71H103KA55D,490-4762-1-ND,OK,490-4762-1-ND,Cut Tape (CT),8127136
"U34, U36-U37",3,TLV62130ARGTR,IC REG BUCK ADJ 3A 16VQFN,Texas Instruments,TLV62130ARGTR,,OK,296-39272-1-ND,Cut Tape (CT),12236
U38,1,TPS7A7002,IC REG LIN POS ADJ 3A 8SO PWRPAD,Texas Instruments,TPS7A7002DDAR,296-40977-1-ND,OK,296-40977-1-ND,Cut Tape (CT),4766
D51,1,MMSZ5242B,DIODE ZENER 12V 500MW SOD123,Micro Commercial Co,MMSZ5242B-TP,MMSZ5242B-TPMSCT-ND,OK,MMSZ5242B-TPMSCT-ND,Cut Tape (CT),595990
R234,1,3K24,RES 3.24K OHM 1% 1/16W 0402,YAGEO,RC0402FR-073K24L,YAG3147CT-ND,OK,YAG3147CT-ND,Cut Tape (CT),627799
D52,1,MMSZ5231B,DIODE ZENER 5.1V 500MW SOD123,Diodes Incorporated,MMSZ5231B-7-F,MMSZ5231B-FDICT-ND,OK,MMSZ5231B-FDICT-ND,Cut Tape (CT),547508
J29-J30,2,MikroBUS interface,SOCKET MIKROBUS 16 TH,MikroElektronika,MIKROE-4247,1471-MIKROE-4247-ND,OK,1471-MIKROE-4247-ND,Box,14
J12,1,DM3AT-SF-PEJM5,CONN MICRO SD CARD PUSH-PUSH R/A,Hirose Electric Co Ltd,DM3AT-SF-PEJM5,HR1964CT-ND,OK,HR1964CT-ND,Cut Tape (CT),0
J3,1,5051101092,CONN FFC BOTTOM 10POS 0.5MM R/A,Molex,5051101092,WM12366CT-ND,OK,WM12366CT-ND,Cut Tape (CT),87060
R259,1,6K04,RES 6.04K OHM 1% 1/16W 0402,YAGEO,RC0402FR-076K04L,YAG2293CT-ND,OK,YAG2293CT-ND,Cut Tape (CT),1311267
U43,1,FSUSB42UMX,IC USB SWITCH DPDT 10UMLP,onsemi,FSUSB42UMX,FSUSB42UMXCT-ND,OK,FSUSB42UMXCT-ND,Cut Tape (CT),7796
J1,1,uUSB-B,CONN RCP MICRO USB B 5POS SMD RA,JST Sales America Inc.,UB-MC5BR3-SD204-4S-1-TB NMP,455-2880-1-ND,OK,455-2880-1-ND,Cut Tape (CT),2464
J6,1,5051102291,CONN FFC BOTTOM 22POS 0.5MM R/A,Molex,5051102291,WM11288CT-ND,OK,WM11288CT-ND,Cut Tape (CT),64905
U23,1,SIT2001B1,MEMS OSC XO 12.0000MHZ H/LV-CMOS,SiTime,SIT2001BI-S2-33E-12.000000D,1473-SIT2001BI-S2-33E-12.000000-ND,OK,1473-SIT2001BI-S2-33E-12.000000D-ND,Strip,0
C97-C98,2,220pF,CAP CER 220PF 50V C0G/NP0 0402,Samsung Electro-Mechanics,CL05C221JB5NNNC,1276-1059-1-ND,OK,1276-1059-1-ND,Cut Tape (CT),1992650
R99,1,2K2,RES 2.2K OHM 1% 1/16W 0402,YAGEO,RC0402FR-072K2L,311-2.20KLRCT-ND,OK,311-2.20KLRCT-ND,Cut Tape (CT),2977309
U22,1,SGTL5000XNAA3,IC AUDIO CODEC STEREO 32HVQFN,NXP USA Inc.,SGTL5000XNBA3R2,568-SGTL5000XNBA3R2CT-ND,OK,568-SGTL5000XNBA3R2CT-ND,Cut Tape (CT),0
L5,1,4.7u,FIXED IND 4.7UH 4.1A 24 MOHM SMD,Bourns Inc.,SRN8040-4R7Y,SRN8040-4R7YCT-ND,OK,SRN8040-4R7YCT-ND,Cut Tape (CT),19741
D58,1,SK34A-LTP,DIODE SCHOTTKY 40V 3A DO214AC,Micro Commercial Co,SK34A-LTP,SK34A-LTPMSCT-ND,OK,SK34A-LTPMSCT-ND,Cut Tape (CT),486796
R292-R293,2,1R5,RES 1.5 OHM 1% 1/10W 0603,YAGEO,RC0603FR-131R5L,13-RC0603FR-131R5LCT-ND,OK,13-RC0603FR-131R5LCT-ND,Cut Tape (CT),98945
U50,1,TPS61169DCKR,IC LED DRV RGLTR PWM 1.8A SC70-5,Texas Instruments,TPS61169DCKR,296-40821-1-ND,OK,296-40821-1-ND,Cut Tape (CT),12146
J5,1,62684-402100ALF,CONN FPC TOP 40POS 0.5MM R/A,Amphenol ICC (FCI),62684-402100ALF,609-1200-1-ND,OK,609-1200-1-ND,Cut Tape (CT),19818
U24,1,dsPIC33CKXXXXMPXXX,IC MCU 16BIT 1MB FLASH 100TQFP,Microchip Technology,DSPIC33CK1024MP710T-I/PT,150-DSPIC33CK1024MP710T-I/PTCT-ND,OK,150-DSPIC33CK1024MP710T-I/PTCT-ND,Cut Tape (CT),1190
CP1,2,CONN RCPT 100POS SMD GOLD,CONN RCPT 100POS SMD GOLD,Hirose Electric Co Ltd,DF40HC(3.0)-100DS-0.4V(58),H124602CT-ND,OK,H124602CT-ND,Cut Tape (CT),279
